idx;result;table;_start;_stop;_time;_value;InstallationName;_field;_measurement
0;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:00:00Z;-19,34;acme;a;007955_0x40
1;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:10:00Z;-17,79;acme;a;007955_0x40
2;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:20:00Z;-19,21;acme;a;007955_0x40
3;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:30:00Z;-18,05;acme;a;007955_0x40
4;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:40:00Z;-18,77;acme;a;007955_0x40
5;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T00:50:00Z;-18,56;acme;a;007955_0x40
6;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:00:00Z;-18,12;acme;a;007955_0x40
7;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:10:00Z;-19,08;acme;a;007955_0x40
8;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:20:00Z;-17,69;acme;a;007955_0x40
9;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:30:00Z;-19,31;acme;a;007955_0x40
10;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:40:00Z;-17,91;acme;a;007955_0x40
11;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T01:50:00Z;-17,03;acme;a;007955_0x40
12;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:00:00Z;-11,61;acme;a;007955_0x40
13;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:10:00Z;-9,76;acme;a;007955_0x40
14;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:20:00Z;-17,94;acme;a;007955_0x40
15;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:30:00Z;-18,84;acme;a;007955_0x40
16;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:40:00Z;-18,07;acme;a;007955_0x40
17;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T02:50:00Z;-19,14;acme;a;007955_0x40
18;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:00:00Z;-18,08;acme;a;007955_0x40
19;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:10:00Z;-19,05;acme;a;007955_0x40
20;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:20:00Z;-19,63;acme;a;007955_0x40
21;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:30:00Z;-18,09;acme;a;007955_0x40
22;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:40:00Z;-19,38;acme;a;007955_0x40
23;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T03:50:00Z;-18,1;acme;a;007955_0x40
24;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:00:00Z;-19,36;acme;a;007955_0x40
25;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:10:00Z;-18,06;acme;a;007955_0x40
26;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:20:00Z;-19,26;acme;a;007955_0x40
27;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:30:00Z;-18,31;acme;a;007955_0x40
28;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:40:00Z;-18,94;acme;a;007955_0x40
29;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T04:50:00Z;-18,59;acme;a;007955_0x40
30;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:00:00Z;-18,25;acme;a;007955_0x40
31;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:10:00Z;-19,18;acme;a;007955_0x40
32;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:20:00Z;-17,95;acme;a;007955_0x40
33;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:30:00Z;-19,46;acme;a;007955_0x40
34;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:40:00Z;-18;acme;a;007955_0x40
35;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T05:50:00Z;-18,97;acme;a;007955_0x40
36;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T06:00:00Z;-20,01;acme;a;007955_0x40
37;_result;7;2020-07-01T00:00:00Z;2020-08-01T00:00:00Z;2020-07-01T06:10:00Z;-18,2;acme;a;007955_0x40
